date,village_id,village_name,district,state,ph,turbidity,chlorine,bacteria,rainfall_mm,temperature_c,humidity_percent,daily_cases,cases_lag_7d,cases_lag_14d,rainfall_3d_sum,turbidity_7d_mean,chlorine_bacteria_ratio,risk_score,outbreak_risk_target
2024-01-15,VIL-001,Kamalabari,Majuli,Assam,8.08,0.72,0.311,67.2,0.0,21.8,86.4,2,3,4,32.7,3.19,0.00456,0,0
2024-01-16,VIL-001,Kamalabari,Majuli,Assam,7.55,12.85,0.07,43.6,12.7,27.7,65.3,6,2,1,12.7,4.86,0.00157,45,1
2024-01-17,VIL-001,Kamalabari,Majuli,Assam,7.15,0.44,0.296,62.0,0.0,31.9,79.4,1,2,3,12.7,4.76,0.0047,0,0
2024-01-18,VIL-001,Kamalabari,Majuli,Assam,6.14,1.88,0.395,478.5,0.0,23.9,66.1,2,4,3,12.7,4.73,0.00082,50,1
2024-01-19,VIL-001,Kamalabari,Majuli,Assam,6.95,4.87,0.189,12.3,0.0,33.2,85.4,3,2,1,0.0,3.38,0.01421,45,1
2024-01-20,VIL-001,Kamalabari,Majuli,Assam,6.59,4.44,0.203,95.1,0.0,31.0,76.8,2,1,2,0.0,3.98,0.00211,25,0
2024-01-21,VIL-001,Kamalabari,Majuli,Assam,8.4,2.0,0.252,42.6,0.7,26.1,78.6,3,3,2,0.7,3.89,0.00578,0,0
2024-01-22,VIL-001,Kamalabari,Majuli,Assam,6.99,1.55,0.57,12.1,1.0,28.4,65.6,4,2,3,1.7,4.0,0.04351,0,0
2024-01-23,VIL-001,Kamalabari,Majuli,Assam,7.17,1.84,0.262,14.6,32.3,35.4,83.5,1,6,2,34.0,2.43,0.01679,20,0
2024-01-24,VIL-001,Kamalabari,Majuli,Assam,7.43,1.12,0.607,251.9,2.3,31.9,99.0,3,1,2,35.6,2.53,0.0024,35,1
2024-01-25,VIL-001,Kamalabari,Majuli,Assam,7.13,0.84,0.239,178.9,0.8,29.0,62.9,2,2,4,35.4,2.38,0.00133,35,1
2024-01-26,VIL-001,Kamalabari,Majuli,Assam,8.12,2.4,0.409,200.7,10.4,28.0,70.9,3,3,2,13.5,2.03,0.00203,35,1
2024-01-27,VIL-001,Kamalabari,Majuli,Assam,6.73,1.14,0.27,403.2,0.0,29.3,77.8,5,2,1,11.2,1.56,0.00067,50,1
2024-01-28,VIL-001,Kamalabari,Majuli,Assam,7.22,1.23,0.486,19.7,0.0,27.0,84.4,1,3,3,10.4,1.45,0.02348,0,0
2024-01-29,VIL-001,Kamalabari,Majuli,Assam,6.65,3.89,0.149,37.1,9.9,20.6,68.3,1,4,2,9.9,1.78,0.00391,20,0
2024-01-30,VIL-001,Kamalabari,Majuli,Assam,6.31,12.59,0.484,93.5,0.7,37.2,41.0,4,1,6,10.6,3.32,0.00512,25,0
2024-01-31,VIL-001,Kamalabari,Majuli,Assam,6.73,3.37,0.37,55.9,0.0,29.6,91.3,2,3,1,10.6,3.64,0.0065,0,0
2024-02-01,VIL-001,Kamalabari,Majuli,Assam,7.08,0.29,0.235,45.8,15.5,30.6,84.1,1,2,2,16.2,3.56,0.00502,0,0
2024-02-02,VIL-001,Kamalabari,Majuli,Assam,6.84,0.29,0.32,37.4,15.2,28.8,54.1,4,3,3,30.7,3.26,0.00833,0,0
2024-02-03,VIL-001,Kamalabari,Majuli,Assam,6.68,11.01,0.626,76.1,7.3,26.1,67.7,3,5,2,38.0,4.67,0.00812,25,0
2024-02-04,VIL-001,Kamalabari,Majuli,Assam,6.26,1.28,0.375,72.4,0.0,28.3,93.8,3,1,3,22.5,4.67,0.00511,0,0
2024-02-05,VIL-001,Kamalabari,Majuli,Assam,7.05,0.35,0.224,14.9,0.0,22.6,92.4,3,1,4,7.3,4.17,0.01409,0,0
2024-02-06,VIL-001,Kamalabari,Majuli,Assam,6.2,3.33,0.133,53.9,8.2,38.1,86.3,0,4,1,8.2,2.85,0.00242,20,0
2024-02-07,VIL-001,Kamalabari,Majuli,Assam,7.56,3.56,0.441,68.1,0.0,24.1,72.9,2,2,3,8.2,2.87,0.00638,0,0
2024-02-08,VIL-001,Kamalabari,Majuli,Assam,7.15,3.81,0.385,71.4,0.0,24.9,76.0,1,1,2,8.2,3.38,0.00532,0,0
2024-02-09,VIL-001,Kamalabari,Majuli,Assam,6.23,1.13,0.475,19.9,0.0,27.2,73.4,4,4,3,0.0,3.5,0.02273,0,0
2024-02-10,VIL-001,Kamalabari,Majuli,Assam,6.91,0.2,0.087,114.6,0.0,34.2,88.5,4,3,5,0.0,1.95,0.00075,70,2
2024-02-11,VIL-001,Kamalabari,Majuli,Assam,6.65,12.2,0.139,2.2,0.0,29.1,64.5,1,3,1,0.0,3.51,0.04344,45,1
2024-02-12,VIL-001,Kamalabari,Majuli,Assam,7.29,1.05,0.556,37.0,16.5,24.1,65.3,2,3,1,16.5,3.61,0.01463,0,0
2024-02-13,VIL-001,Kamalabari,Majuli,Assam,7.9,4.1,0.41,128.0,21.7,34.0,87.1,2,0,4,38.2,3.72,0.00318,60,1
2024-02-14,VIL-001,Kamalabari,Majuli,Assam,5.97,4.46,0.446,70.1,0.0,31.9,74.5,1,2,2,38.2,3.85,0.00627,25,0
2024-02-15,VIL-001,Kamalabari,Majuli,Assam,7.17,3.43,0.177,25.6,0.0,31.2,91.5,4,1,1,21.7,3.8,0.00665,20,0
2024-02-16,VIL-001,Kamalabari,Majuli,Assam,7.0,1.37,0.173,100.3,0.0,31.9,66.9,4,4,4,0.0,3.83,0.00171,55,1
2024-02-17,VIL-001,Kamalabari,Majuli,Assam,7.5,1.15,0.528,70.8,0.0,38.6,74.3,2,4,3,0.0,3.97,0.00735,0,0
2024-02-18,VIL-001,Kamalabari,Majuli,Assam,7.23,3.31,0.537,134.4,0.0,37.7,63.9,1,1,3,0.0,2.7,0.00397,35,1
2024-02-19,VIL-001,Kamalabari,Majuli,Assam,6.65,7.32,0.154,112.2,6.0,26.3,75.1,2,2,3,6.0,3.59,0.00136,80,2
2024-02-20,VIL-001,Kamalabari,Majuli,Assam,6.91,10.67,0.12,79.6,0.0,35.5,57.3,3,2,0,6.0,4.53,0.00149,45,1
2024-02-21,VIL-001,Kamalabari,Majuli,Assam,6.62,0.41,0.33,56.6,0.0,30.5,69.1,3,1,2,6.0,3.95,0.00573,0,0
2024-02-22,VIL-001,Kamalabari,Majuli,Assam,7.75,0.61,0.206,12.1,0.0,31.0,57.8,1,4,1,0.0,3.55,0.01573,0,0
2024-02-23,VIL-001,Kamalabari,Majuli,Assam,7.11,10.54,0.202,25.6,0.0,22.2,83.3,5,4,4,0.0,4.86,0.00759,25,0
2024-02-24,VIL-001,Kamalabari,Majuli,Assam,8.24,4.86,0.125,45.9,0.0,28.3,83.6,2,2,4,0.0,5.39,0.00267,45,1
2024-02-25,VIL-001,Kamalabari,Majuli,Assam,7.06,7.81,0.266,77.3,17.0,25.7,54.2,4,1,1,17.0,6.03,0.0034,25,0
2024-02-26,VIL-001,Kamalabari,Majuli,Assam,6.67,0.82,0.142,60.9,0.0,32.3,91.0,5,2,2,17.0,5.1,0.00229,20,0
2024-02-27,VIL-001,Kamalabari,Majuli,Assam,6.19,3.22,0.153,28.7,5.2,33.3,99.0,3,3,2,22.2,4.04,0.00515,20,0
2024-02-28,VIL-001,Kamalabari,Majuli,Assam,6.02,4.4,0.404,0.5,0.0,20.7,75.6,1,3,1,5.2,4.61,0.26933,25,0
2024-02-29,VIL-001,Kamalabari,Majuli,Assam,6.15,4.15,0.34,57.9,0.0,28.9,67.3,0,1,4,5.2,5.11,0.00577,25,0
2024-03-01,VIL-001,Kamalabari,Majuli,Assam,7.26,1.91,0.437,28.4,14.7,33.5,99.0,2,5,4,14.7,3.88,0.01486,0,0
2024-03-02,VIL-001,Kamalabari,Majuli,Assam,7.41,0.2,0.053,112.1,0.0,28.3,59.2,3,2,2,14.7,3.22,0.00047,70,2
2024-03-03,VIL-001,Kamalabari,Majuli,Assam,6.15,3.18,0.352,2.0,0.0,31.9,75.2,5,4,1,14.7,2.55,0.11733,0,0
2024-03-04,VIL-001,Kamalabari,Majuli,Assam,7.64,1.06,0.724,74.3,0.0,30.4,77.2,1,5,2,0.0,2.59,0.00961,0,0
2024-03-05,VIL-001,Kamalabari,Majuli,Assam,6.81,2.18,0.283,239.8,59.7,30.4,91.1,1,3,3,59.7,2.44,0.00118,50,1
2024-03-06,VIL-001,Kamalabari,Majuli,Assam,7.19,11.5,0.498,16.2,0.0,27.9,79.3,6,1,3,59.7,3.45,0.02895,40,1
2024-03-07,VIL-001,Kamalabari,Majuli,Assam,8.07,1.85,0.497,53.9,0.0,24.1,69.0,2,0,1,59.7,3.13,0.00905,15,0
2024-03-08,VIL-001,Kamalabari,Majuli,Assam,7.64,6.67,0.506,8.1,0.0,24.5,63.6,1,2,5,0.0,3.81,0.0556,25,0
2024-03-09,VIL-001,Kamalabari,Majuli,Assam,6.94,0.76,0.38,83.0,20.7,31.8,70.9,5,3,2,20.7,3.89,0.00452,0,0
2024-03-10,VIL-001,Kamalabari,Majuli,Assam,6.57,4.06,0.452,67.6,0.0,29.1,62.9,0,5,4,20.7,4.01,0.00659,25,0
2024-03-11,VIL-001,Kamalabari,Majuli,Assam,5.81,13.73,0.476,44.2,0.0,28.4,75.6,6,1,5,20.7,5.82,0.01053,25,0
2024-03-12,VIL-001,Kamalabari,Majuli,Assam,6.67,0.39,0.464,62.3,2.4,27.3,68.2,2,1,3,2.4,5.57,0.00733,0,0
2024-03-13,VIL-001,Kamalabari,Majuli,Assam,6.97,0.2,0.149,191.7,15.7,27.8,57.1,4,6,1,18.1,3.95,0.00077,90,2
2024-03-14,VIL-001,Kamalabari,Majuli,Assam,6.51,2.07,0.043,18.5,26.2,33.2,90.1,3,2,0,44.3,3.98,0.00221,20,0
2024-03-15,VIL-001,Kamalabari,Majuli,Assam,7.02,0.35,0.07,1.9,0.0,27.7,69.0,5,1,2,41.9,3.08,0.02414,20,0
2024-03-16,VIL-001,Kamalabari,Majuli,Assam,7.15,5.02,0.301,167.1,0.0,23.6,59.8,7,5,3,26.2,3.69,0.00179,60,1
2024-03-17,VIL-001,Kamalabari,Majuli,Assam,6.97,8.95,0.457,72.7,0.0,32.0,73.0,4,0,5,0.0,4.39,0.0062,25,0
2024-03-18,VIL-001,Kamalabari,Majuli,Assam,6.71,2.07,0.151,187.0,41.3,28.2,75.8,1,6,1,41.3,2.72,0.0008,90,2
2024-03-19,VIL-001,Kamalabari,Majuli,Assam,7.2,1.09,0.516,76.8,0.0,29.1,54.0,0,2,1,41.3,2.82,0.00663,0,0
2024-03-20,VIL-001,Kamalabari,Majuli,Assam,7.37,2.07,0.26,140.4,2.5,35.4,79.0,2,4,6,43.8,3.09,0.00184,35,1
2024-03-21,VIL-001,Kamalabari,Majuli,Assam,6.45,4.68,0.261,47.5,6.7,28.9,62.4,1,3,2,9.2,3.46,0.00538,25,0
2024-03-22,VIL-001,Kamalabari,Majuli,Assam,7.95,0.2,0.2,117.1,0.0,30.2,95.5,0,5,1,9.2,3.44,0.00169,35,1
2024-03-23,VIL-001,Kamalabari,Majuli,Assam,7.04,3.24,0.011,206.4,43.1,24.3,81.3,2,7,5,49.8,3.19,5e-05,90,2
2024-03-24,VIL-001,Kamalabari,Majuli,Assam,7.11,3.46,0.391,71.7,0.0,28.1,70.2,3,4,0,43.1,2.4,0.00538,0,0
2024-03-25,VIL-001,Kamalabari,Majuli,Assam,7.52,3.7,0.658,16.9,20.3,31.4,66.1,1,1,6,63.4,2.63,0.03676,15,0
2024-03-26,VIL-001,Kamalabari,Majuli,Assam,7.24,1.01,0.339,26.5,0.0,22.8,73.7,5,0,2,20.3,2.62,0.01233,0,0
2024-03-27,VIL-001,Kamalabari,Majuli,Assam,7.67,4.56,0.017,18.7,0.0,29.8,82.4,2,2,4,20.3,2.98,0.00086,60,1
2024-03-28,VIL-001,Kamalabari,Majuli,Assam,7.27,0.35,0.49,24.0,0.0,29.4,74.7,1,1,3,0.0,2.36,0.0196,0,0
2024-03-29,VIL-001,Kamalabari,Majuli,Assam,6.73,0.81,0.058,30.9,11.6,29.2,72.4,0,0,5,11.6,2.45,0.00182,20,0
2024-03-30,VIL-001,Kamalabari,Majuli,Assam,7.32,7.64,0.132,68.4,4.6,33.1,75.7,4,2,7,16.2,3.08,0.0019,45,1
2024-03-31,VIL-001,Kamalabari,Majuli,Assam,6.41,4.89,0.307,74.9,0.0,30.3,67.8,1,3,4,16.2,3.28,0.00404,25,0
2024-04-01,VIL-001,Kamalabari,Majuli,Assam,7.17,0.2,0.372,47.0,0.7,34.9,70.9,3,1,1,5.3,2.78,0.00775,0,0
2024-04-02,VIL-001,Kamalabari,Majuli,Assam,7.08,1.04,0.168,80.7,0.0,25.0,50.0,5,5,0,0.7,2.78,0.00206,20,0
2024-04-03,VIL-001,Kamalabari,Majuli,Assam,6.98,0.88,0.3,7.2,0.0,29.5,86.7,2,2,2,0.7,2.26,0.03659,0,0
2024-04-04,VIL-001,Kamalabari,Majuli,Assam,7.02,1.15,0.479,7.8,2.9,29.3,78.6,1,1,1,2.9,2.37,0.05443,0,0
2024-04-05,VIL-001,Kamalabari,Majuli,Assam,5.97,1.04,0.503,15.9,75.2,24.7,65.7,0,0,0,78.1,2.41,0.02976,15,0
2024-04-06,VIL-001,Kamalabari,Majuli,Assam,6.77,0.24,0.575,61.7,0.0,32.8,97.8,3,4,2,78.1,1.35,0.00917,15,0
2024-04-07,VIL-001,Kamalabari,Majuli,Assam,7.16,2.24,0.694,20.3,0.0,38.3,76.0,2,1,3,75.2,0.97,0.03258,15,0
2024-04-08,VIL-001,Kamalabari,Majuli,Assam,7.2,4.8,0.496,28.1,0.0,28.9,62.6,3,3,1,0.0,1.63,0.01704,25,0
2024-04-09,VIL-001,Kamalabari,Majuli,Assam,6.48,3.4,0.311,43.2,0.0,31.0,85.3,0,5,5,0.0,1.96,0.00704,0,0
2024-04-10,VIL-001,Kamalabari,Majuli,Assam,7.86,4.07,0.505,141.2,0.0,29.3,79.8,4,2,2,0.0,2.42,0.00355,60,1
2024-04-11,VIL-001,Kamalabari,Majuli,Assam,6.58,0.31,0.434,1.2,15.0,26.1,79.7,1,1,1,15.0,2.3,0.19727,0,0
2024-04-12,VIL-001,Kamalabari,Majuli,Assam,7.68,11.01,0.441,88.6,0.0,21.7,69.9,1,0,0,15.0,3.72,0.00492,25,0
2024-04-13,VIL-001,Kamalabari,Majuli,Assam,7.36,6.64,0.382,93.4,0.0,26.2,80.4,5,3,4,15.0,4.64,0.00405,25,0
2024-04-14,VIL-001,Kamalabari,Majuli,Assam,6.71,5.95,0.186,135.4,10.6,23.4,71.9,5,2,1,10.6,5.17,0.00136,80,2
2024-04-15,VIL-001,Kamalabari,Majuli,Assam,8.17,6.3,0.165,228.1,30.5,35.8,81.7,0,3,3,41.1,5.38,0.00072,95,2
2024-04-16,VIL-001,Kamalabari,Majuli,Assam,6.38,9.82,0.333,1.7,39.0,28.5,52.1,1,0,5,80.1,6.3,0.12333,40,1
2024-04-17,VIL-001,Kamalabari,Majuli,Assam,7.65,2.86,0.377,14.1,1.6,27.6,69.8,1,4,2,71.1,6.13,0.02497,15,0
2024-04-18,VIL-001,Kamalabari,Majuli,Assam,7.7,0.81,0.228,183.6,0.0,32.6,95.7,0,1,1,40.6,6.2,0.00124,35,1
2024-04-19,VIL-001,Kamalabari,Majuli,Assam,6.7,3.49,0.426,51.8,44.0,24.5,65.8,2,1,0,45.6,5.12,0.00807,0,0
2024-04-20,VIL-001,Kamalabari,Majuli,Assam,7.94,4.94,0.725,70.3,8.8,25.9,67.8,2,5,3,52.8,4.88,0.01017,40,1
2024-04-21,VIL-001,Kamalabari,Majuli,Assam,6.95,4.87,0.036,91.9,31.8,29.3,69.6,5,5,2,84.6,4.73,0.00039,75,2
2024-04-22,VIL-001,Kamalabari,Majuli,Assam,7.27,2.68,0.455,96.0,0.0,33.1,60.4,4,0,3,40.6,4.21,0.00469,0,0
2024-04-23,VIL-001,Kamalabari,Majuli,Assam,7.26,0.26,0.338,226.8,0.0,31.0,48.5,5,1,0,31.8,2.84,0.00148,35,1
2024-04-24,VIL-001,Kamalabari,Majuli,Assam,7.02,1.69,0.431,489.5,0.0,30.0,72.2,2,1,4,0.0,2.68,0.00088,50,1
2024-04-25,VIL-001,Kamalabari,Majuli,Assam,7.59,9.23,0.272,107.6,51.0,29.3,76.6,5,0,1,51.0,3.88,0.0025,75,2
2024-04-26,VIL-001,Kamalabari,Majuli,Assam,7.58,3.2,0.324,28.6,0.0,30.6,74.4,0,2,1,51.0,3.84,0.01095,15,0
2024-04-27,VIL-001,Kamalabari,Majuli,Assam,6.05,2.81,0.373,179.0,0.0,29.8,73.3,2,2,5,51.0,3.53,0.00207,50,1
2024-04-28,VIL-001,Kamalabari,Majuli,Assam,7.88,1.14,0.296,4.3,50.1,24.9,75.5,5,5,5,50.1,3.0,0.05585,15,0
2024-04-29,VIL-001,Kamalabari,Majuli,Assam,6.1,1.67,0.076,22.2,5.8,29.2,87.3,5,4,0,55.9,2.86,0.00328,35,1
2024-04-30,VIL-001,Kamalabari,Majuli,Assam,7.72,8.22,0.308,192.4,7.3,24.7,72.7,1,5,1,63.2,3.99,0.00159,75,2
2024-05-01,VIL-001,Kamalabari,Majuli,Assam,7.78,4.0,0.095,25.0,21.7,29.3,68.1,4,2,1,34.8,4.32,0.00365,20,0
2024-05-02,VIL-001,Kamalabari,Majuli,Assam,6.45,5.64,0.468,21.1,0.0,27.1,71.6,2,5,0,29.0,3.81,0.02118,25,0
2024-05-03,VIL-001,Kamalabari,Majuli,Assam,6.85,2.2,0.014,12.6,0.0,39.2,82.0,1,0,2,21.7,3.67,0.00103,20,0
2024-05-04,VIL-001,Kamalabari,Majuli,Assam,6.44,3.62,0.535,165.6,0.0,28.8,91.9,1,2,2,0.0,3.78,0.00321,35,1
2024-05-05,VIL-001,Kamalabari,Majuli,Assam,6.97,1.04,0.427,58.6,0.0,23.4,67.5,2,5,5,0.0,3.77,0.00716,0,0
2024-05-06,VIL-001,Kamalabari,Majuli,Assam,6.92,4.45,0.428,94.9,0.0,28.5,76.2,2,5,4,0.0,4.17,0.00446,25,0
2024-05-07,VIL-001,Kamalabari,Majuli,Assam,7.57,2.03,0.0,23.1,0.0,31.1,79.1,6,1,5,0.0,3.28,0.0,35,1
2024-05-08,VIL-001,Kamalabari,Majuli,Assam,7.89,2.13,0.291,119.9,0.0,35.7,63.1,4,4,2,0.0,3.02,0.00241,35,1
2024-05-09,VIL-001,Kamalabari,Majuli,Assam,7.94,3.81,0.558,120.6,6.0,26.6,75.2,1,2,5,6.0,2.75,0.00459,35,1
2024-05-10,VIL-001,Kamalabari,Majuli,Assam,6.76,10.02,0.257,31.7,6.5,22.7,57.4,1,1,0,12.5,3.87,0.00786,25,0
2024-05-11,VIL-001,Kamalabari,Majuli,Assam,6.97,0.24,0.156,44.7,0.0,32.3,53.8,1,1,2,12.5,3.39,0.00341,20,0
2024-05-12,VIL-001,Kamalabari,Majuli,Assam,6.09,6.34,0.235,19.9,18.5,23.5,79.4,5,2,5,25.0,4.15,0.01124,25,0
2024-05-13,VIL-001,Kamalabari,Majuli,Assam,6.62,1.26,0.338,317.2,22.8,27.3,70.4,3,2,5,41.3,3.69,0.00106,35,1
2024-05-14,VIL-001,Kamalabari,Majuli,Assam,7.68,2.14,0.197,87.7,0.0,28.0,77.4,1,6,1,41.3,3.71,0.00222,40,1
2024-05-15,VIL-001,Kamalabari,Majuli,Assam,8.07,0.2,0.572,230.4,0.0,28.7,74.8,3,4,4,22.8,3.43,0.00247,35,1
2024-05-16,VIL-001,Kamalabari,Majuli,Assam,6.36,1.3,0.338,30.5,0.0,31.8,63.3,5,1,2,0.0,3.07,0.01073,0,0
2024-05-17,VIL-001,Kamalabari,Majuli,Assam,6.74,2.54,0.25,128.7,0.0,26.3,74.5,3,1,1,0.0,2.0,0.00193,35,1
2024-05-18,VIL-001,Kamalabari,Majuli,Assam,7.08,0.21,0.116,122.7,0.0,27.9,60.2,4,1,1,0.0,2.0,0.00094,70,2
2024-05-19,VIL-001,Kamalabari,Majuli,Assam,7.27,2.46,0.437,99.4,0.0,28.9,91.7,1,5,2,0.0,1.44,0.00435,0,0
2024-05-20,VIL-001,Kamalabari,Majuli,Assam,6.61,9.53,0.433,284.8,0.0,29.6,58.7,3,3,2,0.0,2.63,0.00152,60,1
2024-05-21,VIL-001,Kamalabari,Majuli,Assam,7.35,0.41,0.207,42.3,0.0,29.4,72.7,6,1,6,0.0,2.38,0.00478,0,0
2024-05-22,VIL-001,Kamalabari,Majuli,Assam,6.82,5.26,0.0,11.8,0.0,30.7,62.5,5,3,4,0.0,3.1,0.0,60,1
2024-05-23,VIL-001,Kamalabari,Majuli,Assam,7.09,1.92,0.424,94.1,0.0,32.4,81.8,3,5,1,0.0,3.19,0.00446,0,0
2024-05-24,VIL-001,Kamalabari,Majuli,Assam,7.43,3.88,0.316,110.4,0.0,30.6,71.0,0,3,1,0.0,3.38,0.00284,35,1
2024-05-25,VIL-001,Kamalabari,Majuli,Assam,7.1,1.1,0.41,72.3,0.0,30.8,68.8,3,4,1,0.0,3.51,0.00559,0,0
2024-05-26,VIL-001,Kamalabari,Majuli,Assam,6.84,0.63,0.702,19.6,10.6,22.7,85.2,5,1,5,10.6,3.25,0.03408,0,0
2024-05-27,VIL-001,Kamalabari,Majuli,Assam,7.03,0.64,0.345,59.3,24.4,29.2,75.4,2,3,3,35.0,1.98,0.00572,0,0
2024-05-28,VIL-001,Kamalabari,Majuli,Assam,7.05,0.27,0.258,31.6,4.7,30.9,81.2,8,6,1,39.7,1.96,0.00791,20,0
2024-05-29,VIL-001,Kamalabari,Majuli,Assam,6.88,0.75,0.143,47.1,0.0,31.9,63.2,1,5,3,29.1,1.31,0.00297,20,0
2024-05-30,VIL-001,Kamalabari,Majuli,Assam,6.94,3.97,0.294,87.6,6.4,26.2,58.1,4,3,5,11.1,1.61,0.00332,0,0
2024-05-31,VIL-001,Kamalabari,Majuli,Assam,8.06,7.77,0.379,115.5,11.6,26.4,76.3,1,0,3,18.0,2.16,0.00325,60,1
2024-06-01,VIL-001,Kamalabari,Majuli,Assam,7.44,6.12,0.36,22.3,0.0,26.7,71.2,5,3,4,18.0,2.88,0.01545,25,0
2024-06-02,VIL-001,Kamalabari,Majuli,Assam,6.92,4.21,0.66,43.9,7.9,31.1,82.5,3,5,1,19.5,3.39,0.0147,25,0
2024-06-03,VIL-001,Kamalabari,Majuli,Assam,7.52,0.43,0.44,26.5,0.0,33.1,74.0,0,2,3,7.9,3.36,0.016,0,0
2024-06-04,VIL-001,Kamalabari,Majuli,Assam,6.9,1.24,0.326,18.7,1.1,27.4,77.5,3,8,6,9.0,3.5,0.01655,20,0
2024-06-05,VIL-001,Kamalabari,Majuli,Assam,7.8,1.35,0.223,129.3,0.0,32.6,55.5,1,1,5,1.1,3.58,0.00171,35,1
2024-06-06,VIL-001,Kamalabari,Majuli,Assam,7.32,1.05,0.398,202.8,0.0,29.5,97.7,3,4,3,1.1,3.17,0.00195,35,1
2024-06-07,VIL-001,Kamalabari,Majuli,Assam,7.04,2.63,0.187,39.1,0.0,28.5,73.0,4,1,0,0.0,2.43,0.00466,20,0
2024-06-08,VIL-001,Kamalabari,Majuli,Assam,7.37,2.79,0.382,117.6,0.0,28.2,83.4,4,5,3,0.0,1.96,0.00322,35,1
2024-06-09,VIL-001,Kamalabari,Majuli,Assam,6.16,1.61,0.438,192.1,0.0,32.0,65.0,2,3,5,0.0,1.59,0.00227,35,1
2024-06-10,VIL-001,Kamalabari,Majuli,Assam,6.42,1.59,0.311,158.2,9.8,30.3,78.7,4,0,2,9.8,1.75,0.00195,35,1
2024-06-11,VIL-001,Kamalabari,Majuli,Assam,6.38,6.42,0.237,17.1,21.7,38.1,59.4,1,3,8,31.5,2.49,0.01309,25,0
2024-06-12,VIL-001,Kamalabari,Majuli,Assam,7.19,5.67,0.0,264.5,9.5,25.6,80.4,1,1,1,41.0,3.11,0.0,95,2
2024-06-13,VIL-001,Kamalabari,Majuli,Assam,8.14,1.34,0.556,39.9,0.0,31.1,70.7,2,3,4,31.2,3.15,0.01359,0,0
2024-06-14,VIL-001,Kamalabari,Majuli,Assam,8.44,8.92,0.423,35.0,0.0,26.9,75.4,4,4,1,9.5,4.05,0.01175,25,0
2024-06-15,VIL-001,Kamalabari,Majuli,Assam,7.48,11.12,0.427,5.4,0.0,25.5,83.4,1,4,5,0.0,5.24,0.06672,25,0
2024-06-16,VIL-001,Kamalabari,Majuli,Assam,7.4,1.44,0.069,56.3,19.5,29.0,60.2,1,2,3,19.5,5.21,0.0012,20,0
2024-06-17,VIL-001,Kamalabari,Majuli,Assam,6.02,1.59,0.598,9.8,0.0,29.5,66.8,1,4,0,19.5,5.21,0.05537,0,0
2024-06-18,VIL-001,Kamalabari,Majuli,Assam,6.77,2.56,0.266,24.1,0.0,40.7,80.5,1,1,3,19.5,4.66,0.0106,0,0
2024-06-19,VIL-001,Kamalabari,Majuli,Assam,6.63,10.31,0.298,32.2,0.0,28.3,99.0,2,1,1,0.0,5.33,0.00898,25,0
